Die For You (with Ariana Grande) - Remix,The Weeknd,66.993,12A
When I Was Your Man,Bruno Mars,72.795,8B
SAD!,XXXTENTACION,75.023,4B
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,76,9B
HIGHEST IN THE ROOM,Travis Scott,76.469,6A
God's Plan,Drake,77.169,9B
Laffy Taffy,D4L,77.499,6A
Touch My Body,Mariah Carey,78.515,9A
Money Maker,Ludacris,78.756,3B
Hello,Adele,78.991,4A
Hey Ya!,Outkast,79.526,9A
This Is Why I'm Hot,MiMS,80.021,4B
See You Again (feat. Charlie Puth),Wiz Khalifa,80.025,6B
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,80.028,3B
Heat Waves,Glass Animals,80.87,1B
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,80.924,9B
RAPSTAR,Polo G,81.039,2B
Life Goes On,BTS,81.068,3B
willow,Taylor Swift,81.112,9B
Toosie Slide,Drake,81.618,12A
You're Beautiful,James Blunt,81.998,5A
Take A Bow,Rihanna,82.082,11B
Grillz,Nelly,82.985,9A
All I Have (feat. LL Cool J),Jennifer Lopez,83.066,3B
WAIT FOR U (feat. Drake & Tems),Future,83.389,3B
I'm Real (feat. Ja Rule),Jennifer Lopez,83.458,9A
I'm Real (feat. Ja Rule) - Murder Remix,Jennifer Lopez,83.46,10A
Savage Remix (feat. Beyoncé),Megan Thee Stallion,84.459,3A
Royals,Lorde,84.881,9B
I Knew I Loved You,Savage Garden,85.031,11B
My Boo,Usher,86.412,7B
Love The Way You Lie,Eminem,86.989,6B
Shake Ya Tailfeather (feat. Nelly & Murphy Lee),Diddy,87.667,3B
Heartless,Kanye West,87.999,3A
Kill Bill,SZA,88.993,4B
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89.911,10B
Cheap Thrills,Sia,89.976,11A
ROCKSTAR (feat. Roddy Ricch),DaBaby,89.977,1B
Stutter (feat. Mystikal) - Double Take Remix,Joe,89.989,2B
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90.03,8B
No One,Alicia Keys,90.04,12A
In Da Club,50 Cent,90.051,11A
Foolish,Ashanti,90.119,8B
London Bridge,Fergie,90.951,3B
Mood (feat. iann dior),24kGoldn,91.007,6A
Baby Boy (feat. Sean Paul),Beyoncé,91.025,3B
In My Feelings,Drake,91.03,3B
